altura,peso,sexo
1.7888106928777676,65.64810194322422,0
1.5667844336950547,76.64276798349265,0
2.0921930548074488,55.468185325853966,1
1.7824709172724247,67.28199736248007,1
1.7357669765411234,69.28900763315059,0
1.686974647694553,56.84005113613213,0
1.797104632979477,65.20897328464827,1
1.1873490549389873,48.164763945837926,0
1.5958914364289045,45.41064813987062,1
1.3962817760658512,67.93011333673758,0
1.6061481645731848,67.71960409735614,0
1.7075899674617019,45.60933261622252,0
1.735513115986376,64.84545150984795,0
1.6720551819612712,39.70595150434445,1
1.7233770692063357,50.058880205630544,1
1.6845742723083423,56.54508738261353,1
1.7332589297219172,37.51218759092765,0
1.7578996592814429,57.36242239481347,0
1.9133377051681173,69.30724638645611,1
1.4560483434458382,69.34233711087472,0